PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
28,079,16,14,28079016_14_6,2018,07,05,70.11,V,70.51,V,72.25,V,68.67,V,69.53,V,65.78,V,52.93,V,09.99,V,22.56,V,52.27,V,61.68,V,67.01,V,77.53,V,87.23,V,92.84,V,101.7,V,108.8,V,115.4,V,116.4,V,120.8,V,123.8,V,106.8,V,00000,N,00000,N
28,079,17,1,28079017_1_38,2018,07,05,00006,V,00006,V,00006,V,00006,V,00006,V,00006,V,00006,V,00007,V,00006,V,00006,V,00006,V,00006,V,00006,V,00006,V,00006,V,00005,V,00005,V,00005,V,00005,V,00005,V,00005,V,00005,V,00000,N,00000,N
28,079,17,7,28079017_7_8,2018,07,05,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00003,V,00016,V,00010,V,00007,V,00004,V,00002,V,00002,V,00002,V,00002,V,00001,V,00002,V,00001,V,00002,V,00002,V,00003,V,00004,V,00000,N,00000,N
28,079,17,8,28079017_8_8,2018,07,05,00009,V,00006,V,00004,V,00002,V,00003,V,00009,V,00034,V,00068,V,00046,V,00036,V,00029,V,00017,V,00016,V,00013,V,00015,V,00012,V,00016,V,00016,V,00019,V,00021,V,00033,V,00049,V,00000,N,00000,N
28,079,17,12,28079017_12_8,2018,07,05,00010,V,00008,V,00005,V,00004,V,00004,V,00011,V,00039,V,00093,V,00061,V,00046,V,00035,V,00020,V,00019,V,00016,V,00017,V,00014,V,00018,V,00018,V,00023,V,00024,V,00037,V,00054,V,00000,N,00000,N
28,079,17,14,28079017_14_6,2018,07,05,86.48,V,85.18,V,87.85,V,92.55,V,90.27,V,80.92,V,57.25,V,29.13,V,48.51,V,62.04,V,72.53,V,88.22,V,91.16,V,100.8,V,109.6,V,124.5,V,130.3,V,138.1,V,145.4,V,134.6,V,115.8,V,78.71,V,00000,N,00000,N
28,079,18,1,28079018_1_38,2018,07,05,00007,V,00007,V,00006,V,00006,V,00006,V,00006,V,00006,V,00006,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00007,V,00000,N,00000,N
28,079,18,6,28079018_6_48,2018,07,05,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,000.5,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,00000,N,00000,N
28,079,18,7,28079018_7_8,2018,07,05,00002,V,00002,V,00002,V,00001,V,00002,V,00002,V,00002,V,00003,V,00004,V,00008,V,00008,V,00006,V,00004,V,00004,V,00003,V,00002,V,00002,V,00001,V,00002,V,00001,V,00001,V,00001,V,00000,N,00000,N
28,079,18,8,28079018_8_8,2018,07,05,00012,V,00009,V,00008,V,00006,V,00009,V,00012,V,00012,V,00024,V,00025,V,00030,V,00031,V,00025,V,00016,V,00016,V,00017,V,00018,V,00017,V,00016,V,00020,V,00017,V,00023,V,00031,V,00000,N,00000,N
